concept,member,member type,sort weight,void/retire,_version:1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,bbb721bd-c498-553b-bfa7-9ac259553ae8,concept-set,73,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,0b875f69-9235-5660-9d70-7dbee4cff833,concept-set,74,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,58ace323-b6be-530d-82dd-b915b667f316,concept-set,75,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,2abed50b-d1be-510e-8e65-5b02b129df0d,concept-set,76,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,f825942f-27a5-5da5-82e9-9ec8e9b8b959,concept-set,77,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,1e21a2d0-0551-52e7-a430-c20d2618a4c7,concept-set,78,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,e1060488-5b9d-5f08-9558-82526bbba88a,concept-set,79,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,b873556b-f4cd-54d8-bd72-f12d57d3b0c7,concept-set,80,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,e1fb0b8f-8b25-5a0b-8db1-0b596a1e7b17,concept-set,81,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,9894cb64-242e-595a-8cf0-383170189b50,concept-set,82,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,88c9dc03-e11d-5493-9868-ea7218890b28,concept-set,84,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,93fe9cd1-fc34-5602-afc6-9088df2366ad,concept-set,85,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,9662c1d8-9590-50ab-a5e7-1a050f897b6b,concept-set,86,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,47a07ed8-26e0-5c5e-b6ad-e63d449af075,concept-set,87,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,33fa063c-a15d-50da-afea-82dccf4e9f9d,concept-set,88,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,bb09e3b3-8f8d-5c96-91b8-8cee60b31894,concept-set,89,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,14b42bd2-92fd-5cf6-a269-fd1ac20adff2,concept-set,91,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,3702c3ff-1da8-57f2-91d5-eefab1c4ef13,concept-set,92,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,60be7c82-18be-5cfd-9185-53a6ed952762,concept-set,93,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,596a5dd4-b5c6-5fa0-bc11-24b4bf36c066,concept-set,94,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,688e1d9a-7099-59d4-a8d3-e48a668d32d2,concept-set,95,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,ed6900d0-f5cf-5f80-bba9-8929ca2a538f,concept-set,96,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,aa03caa3-9545-5dd3-bed9-da30aeca05fc,concept-set,97,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,e8b891af-2dfb-5a6d-beff-49dae14b50ca,concept-set,98,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,9ad151d3-1ce9-5eda-905e-6dcdd6bd1461,concept-set,99,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,1321daaf-b99a-562c-8db6-1686c7cffe45,concept-set,100,,1
24924515-f9ef-4bce-9b5f-1bdc27745c71,1c086be4-8d80-4682-b70a-74cad666054e,concept-set,1,,1
24924515-f9ef-4bce-9b5f-1bdc27745c71,7db1dd83-bc9e-47ee-b923-bcba1c50b453,concept-set,1,,1
812ea9b9-6635-4e4a-8b82-db691326a437,298f1dff-b164-43c9-a3b7-6e19097af295,concept-set,1,,1
253a2c15-5593-58f5-b273-ae7078125578,298f1dff-b164-43c9-a3b7-6e19097af295,concept-set,1,,1
957fb3f9-6742-476a-a3cf-55a978e7db62,a382b498-adc4-4cd6-8176-5abcc22a273f,concept-set,1,,1
c23a957d-55d8-5b8d-ab14-0a0a96593d5e,a382b498-adc4-4cd6-8176-5abcc22a273f,concept-set,1,,1
957fb3f9-6742-476a-a3cf-55a978e7db62,2aaee18f-b1cc-4c5e-a800-28040d701722,concept-set,1,,1
3916be0f-e5e2-5cf4-aa43-6982412f69cc,2aaee18f-b1cc-4c5e-a800-28040d701722,concept-set,1,,1
957fb3f9-6742-476a-a3cf-55a978e7db62,ed3c005d-ae38-4adb-a0ff-e2c9d25abd56,concept-set,1,,1
0871e71c-8e27-55cd-a04f-edce4159b9fc,ed3c005d-ae38-4adb-a0ff-e2c9d25abd56,concept-set,1,,1
957fb3f9-6742-476a-a3cf-55a978e7db62,561753e8-fd5e-4544-9fea-c3d597aa6c44,concept-set,1,,1
957fb3f9-6742-476a-a3cf-55a978e7db62,a8c3a3c4-30c4-4e5c-9ca8-b28c0a889346,concept-set,1,,1
957fb3f9-6742-476a-a3cf-55a978e7db62,9fae0b5a-bc82-47d4-800f-36f1103a3b1f,concept-set,1,,1
