concept,member,member type,sort weight
Miscellaneous specified eczematous dermatoses (Super-Category),Pityriasis alba,concept-set,1
Chapter 14: Diseases of the skin,"Dermatitis or eczema, unspecified (Super-Category)",concept-set,11
"Dermatitis or eczema, unspecified (Super-Category)","Dermatitis or eczema, unspecified",concept-set,1
Chapter 14: Diseases of the skin,Psoriasis (Super-Category),concept-set,12
Psoriasis (Super-Category),Psoriasis,concept-set,1
Chapter 14: Diseases of the skin,Lichen planus (Super-Category),concept-set,13
Lichen planus (Super-Category),Lichen planus,concept-set,1
Chapter 14: Diseases of the skin,Lichenoid dermatoses (Super-Category),concept-set,14
Lichenoid dermatoses (Super-Category),Lichenoid dermatoses,concept-set,1
Chapter 14: Diseases of the skin,Spontaneous urticaria (Super-Category),concept-set,15
Spontaneous urticaria (Super-Category),Acute urticaria,concept-set,1
Chapter 14: Diseases of the skin,Spontaneous urticaria (Super-Category),concept-set,16
Spontaneous urticaria (Super-Category),Chronic urticaria,concept-set,2
Chapter 14: Diseases of the skin,Idiopathic angioedema (Super-Category),concept-set,17
Idiopathic angioedema (Super-Category),Idiopathic angioedema,concept-set,1
Chapter 14: Diseases of the skin,Erythema multiforme (Super-Category),concept-set,18
Erythema multiforme (Super-Category),Erythema multiforme,concept-set,1
Chapter 14: Diseases of the skin,Stevens-Johnson syndrome or toxic epidermal necrolysis (Super-Category),concept-set,19
Stevens-Johnson syndrome or toxic epidermal necrolysis (Super-Category),Stevens-Johnson syndrome,concept-set,1
Chapter 14: Diseases of the skin,Erythema nodosum (Super-Category),concept-set,20
Erythema nodosum (Super-Category),Erythema nodosum,concept-set,1
Chapter 14: Diseases of the skin,Chronic cutaneous lupus erythematosus (Super-Category),concept-set,21
Chronic cutaneous lupus erythematosus (Super-Category),Chronic cutaneous lupus erythematosus,concept-set,1
Chapter 14: Diseases of the skin,Chronic cutaneous lupus erythematosus (Super-Category),concept-set,22
Chronic cutaneous lupus erythematosus (Super-Category),Discoid lupus erythematosus,concept-set,2
Chapter 14: Diseases of the skin,Pruritus (Super-Category),concept-set,23
Pruritus (Super-Category),Pruritus,concept-set,1
Chapter 14: Diseases of the skin,Prurigo (Super-Category),concept-set,24
Prurigo (Super-Category),Prurigo,concept-set,1
Chapter 14: Diseases of the skin,Xerosis cutis or asteatosis (Super-Category),concept-set,25
Xerosis cutis or asteatosis (Super-Category),Xerosis cutis or asteatosis,concept-set,1
Chapter 14: Diseases of the skin,Acquired hypermelanosis (Super-Category),concept-set,26
Acquired hypermelanosis (Super-Category),Melasma,concept-set,1
Chapter 14: Diseases of the skin,Acquired hypomelanotic disorders (Super-Category),concept-set,27
Acquired hypomelanotic disorders (Super-Category),Vitiligo,concept-set,1
Chapter 14: Diseases of the skin,Other specified disorders of skin pigmentation (Super-Category),concept-set,28
Other specified disorders of skin pigmentation (Super-Category),Other specified disorders of skin pigmentation,concept-set,1
Chapter 14: Diseases of the skin,Alopecia or hair loss (Super-Category),concept-set,29
Alopecia or hair loss (Super-Category),Alopecia areata,concept-set,1
Chapter 14: Diseases of the skin,Acne (Super-Category),concept-set,30
Acne (Super-Category),"Acne, unspecified",concept-set,1
Chapter 14: Diseases of the skin,Disorders of the sebaceous gland (Super-Category),concept-set,31
Disorders of the sebaceous gland (Super-Category),Seborrhoea,concept-set,1
Chapter 14: Diseases of the skin,Infections of the nail or perionychium (Super-Category),concept-set,32
Infections of the nail or perionychium (Super-Category),Acute bacterial paronychia,concept-set,1
Chapter 14: Diseases of the skin,Infections of the nail or perionychium (Super-Category),concept-set,33
Infections of the nail or perionychium (Super-Category),Onychomycosis,concept-set,2
Chapter 14: Diseases of the skin,Certain disorders affecting the nails or perionychium (Super-Category),concept-set,34
Certain disorders affecting the nails or perionychium (Super-Category),Ingrowing nail,concept-set,1
Chapter 14: Diseases of the skin,Certain disorders affecting the nails or perionychium (Super-Category),concept-set,35
Certain disorders affecting the nails or perionychium (Super-Category),Chronic paronychia,concept-set,2
Chapter 14: Diseases of the skin,Keloid or hypertrophic scars (Super-Category),concept-set,36
Keloid or hypertrophic scars (Super-Category),Keloid or hypertrophic scars,concept-set,1
Chapter 14: Diseases of the skin,Skin disorders localised to the scalp (Super-Category),concept-set,37
Skin disorders localised to the scalp (Super-Category),Scalp folliculitis,concept-set,1
Chapter 14: Diseases of the skin,Anal pruritus (Super-Category),concept-set,38
Anal pruritus (Super-Category),Anal pruritus,concept-set,1
Chapter 14: Diseases of the skin,Dermatoses of infancy (Super-Category),concept-set,39
Dermatoses of infancy (Super-Category),Infantile seborrhoeic dermatitis,concept-set,1
Chapter 14: Diseases of the skin,Fixed drug eruption (Super-Category),concept-set,40
Fixed drug eruption (Super-Category),Fixed drug eruption,concept-set,1
Chapter 14: Diseases of the skin,Pressure ulceration (Super-Category),concept-set,41
Pressure ulceration (Super-Category),Pressure ulceration,concept-set,1
Chapter 14: Diseases of the skin,Dermatoses provoked by friction or mechanical stress (Super-Category),concept-set,42
Dermatoses provoked by friction or mechanical stress (Super-Category),Corns or callosities,concept-set,1
Chapter 14: Diseases of the skin,Sunburn (Super-Category),concept-set,43
Sunburn (Super-Category),Sunburn,concept-set,1
Chapter 14: Diseases of the skin,Allergic contact dermatitis (Super-Category),concept-set,44
Allergic contact dermatitis (Super-Category),Allergic contact dermatitis,concept-set,1
Chapter 14: Diseases of the skin,Skin tags or polyps (Super-Category),concept-set,45
Skin tags or polyps (Super-Category),Skin tags or polyps,concept-set,1
Chapter 14: Diseases of the skin,Other specified diseases of the skin (Super-Category),concept-set,46
Other specified diseases of the skin (Super-Category),Other specified diseases of the skin,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Osteoarthritis of hip (Super-Category),concept-set,1
Osteoarthritis of hip (Super-Category),Osteoarthritis of hip,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Osteoarthritis of knee (Super-Category),concept-set,2
Osteoarthritis of knee (Super-Category),Osteoarthritis of knee,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Osteoarthritis of wrist and hand (Super-Category),concept-set,3
Osteoarthritis of wrist and hand (Super-Category),Osteoarthritis of wrist and hand,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Rheumatoid arthritis (Super-Category),concept-set,4
Rheumatoid arthritis (Super-Category),Rheumatoid arthritis,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Gout (Super-Category),concept-set,5
Gout (Super-Category),Gout,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Acquired deformities of fingers or toes (Super-Category),concept-set,6
Acquired deformities of fingers or toes (Super-Category),Acquired deformities of fingers or toes,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Other acquired deformities of limbs (Super-Category),concept-set,7
Other acquired deformities of limbs (Super-Category),Other acquired deformities of limbs,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Disorders of patella (Super-Category),concept-set,8
Disorders of patella (Super-Category),Disorders of patella,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Other specified arthropathies (Super-Category),concept-set,9
Other specified arthropathies (Super-Category),Other specified arthropathies,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Spinal deformities (Super-Category),concept-set,10
Spinal deformities (Super-Category),Kyphosis,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Other specified conditions associated with the spine (Super-Category),concept-set,11
Other specified conditions associated with the spine (Super-Category),Other specified conditions associated with the spine,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Tenosynovitis (Super-Category),concept-set,12
Tenosynovitis (Super-Category),Tenosynovitis,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Tenosynovitis (Super-Category),concept-set,13
Tenosynovitis (Super-Category),Plantar fasciitis,concept-set,2
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Other specified disorders of synovium or tendon (Super-Category),concept-set,14
Other specified disorders of synovium or tendon (Super-Category),Other specified disorders of synovium or tendon,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Certain specified enthesopathies (Super-Category),concept-set,15
Certain specified enthesopathies (Super-Category),Medial epicondylitis of elbow,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Certain specified enthesopathies (Super-Category),concept-set,16
Certain specified enthesopathies (Super-Category),Lateral epicondylitis of elbow,concept-set,2
Chapter 15: Diseases of the musculoskeletal system or connective tissue,"Soft tissue disorders, unspecified (Super-Category)",concept-set,17
"Soft tissue disorders, unspecified (Super-Category)","Soft tissue disorders, unspecified",concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Certain specified disorders of bone density or structure (Super-Category),concept-set,18
Certain specified disorders of bone density or structure (Super-Category),Delayed union of fracture,concept-set,1
Chapter 15: Diseases of the musculoskeletal system or connective tissue,Other specified diseases of the musculoskeletal system or connective tissue (Super-Category),concept-set,19
Other specified diseases of the musculoskeletal system or connective tissue (Super-Category),Other specified diseases of the musculoskeletal system or connective tissue,concept-set,1
Chapter 16: Diseases of the genitourinary system,Vulvitis (Super-Category),concept-set,1
Vulvitis (Super-Category),Vulvitis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Vulvitis (Super-Category),concept-set,2
Vulvitis (Super-Category),Vulvovaginal ulceration,concept-set,2
Chapter 16: Diseases of the genitourinary system,Vaginitis (Super-Category),concept-set,3
Vaginitis (Super-Category),Vaginitis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Vaginitis (Super-Category),concept-set,4
Vaginitis (Super-Category),Genital ulcer disease of vagina,concept-set,2
Chapter 16: Diseases of the genitourinary system,Diseases of Bartholin gland (Super-Category),concept-set,5
Diseases of Bartholin gland (Super-Category),Abscess of Bartholin gland,concept-set,1
Chapter 16: Diseases of the genitourinary system,Diseases of Bartholin gland (Super-Category),concept-set,6
Diseases of Bartholin gland (Super-Category),Cyst of Bartholin gland,concept-set,2
Chapter 16: Diseases of the genitourinary system,Cervicitis (Super-Category),concept-set,7
Cervicitis (Super-Category),Cervicitis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Female pelvic inflammatory diseases (Super-Category),concept-set,8
Female pelvic inflammatory diseases (Super-Category),Female pelvic inflammatory diseases,concept-set,1
Chapter 16: Diseases of the genitourinary system,Female pelvic inflammatory diseases (Super-Category),concept-set,9
Female pelvic inflammatory diseases (Super-Category),Acute female pelvic inflammatory disease,concept-set,2
Chapter 16: Diseases of the genitourinary system,Endometriosis (Super-Category),concept-set,10
Endometriosis (Super-Category),Endometriosis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Dyspareunia (Super-Category),concept-set,11
Dyspareunia (Super-Category),Dyspareunia,concept-set,1
Chapter 16: Diseases of the genitourinary system,Acquired abnormalities of vulva or perineum (Super-Category),concept-set,12
Acquired abnormalities of vulva or perineum (Super-Category),Vulvar laceration,concept-set,1
Chapter 16: Diseases of the genitourinary system,Acquired abnormalities of vagina (Super-Category),concept-set,13
Acquired abnormalities of vagina (Super-Category),Polyp of vagina,concept-set,1
Chapter 16: Diseases of the genitourinary system,Acquired abnormalities of vagina (Super-Category),concept-set,14
Acquired abnormalities of vagina (Super-Category),Vaginal foreign body,concept-set,2
Chapter 16: Diseases of the genitourinary system,Acquired abnormalities of cervix uteri (Super-Category),concept-set,15
Acquired abnormalities of cervix uteri (Super-Category),Incompetence of cervix uteri,concept-set,1
Chapter 16: Diseases of the genitourinary system,"Acquired abnormalities of uterus, except cervix (Super-Category)",concept-set,16
"Acquired abnormalities of uterus, except cervix (Super-Category)",Malposition of uterus,concept-set,1
Chapter 16: Diseases of the genitourinary system,Menstrual cycle bleeding disorders (Super-Category),concept-set,17
Menstrual cycle bleeding disorders (Super-Category),Amenorrhoea,concept-set,1
Chapter 16: Diseases of the genitourinary system,Menstrual cycle bleeding disorders (Super-Category),concept-set,18
Menstrual cycle bleeding disorders (Super-Category),Frequent menstrual bleeding,concept-set,2
Chapter 16: Diseases of the genitourinary system,Menstrual cycle bleeding disorders (Super-Category),concept-set,19
Menstrual cycle bleeding disorders (Super-Category),Infrequent menstrual bleeding,concept-set,3
Chapter 16: Diseases of the genitourinary system,Menstrual cycle bleeding disorders (Super-Category),concept-set,20
Menstrual cycle bleeding disorders (Super-Category),Intermenstrual bleeding,concept-set,4
Chapter 16: Diseases of the genitourinary system,Nonmenstrual bleeding disorders (Super-Category),concept-set,21
Nonmenstrual bleeding disorders (Super-Category),Postcoital or contact bleeding,concept-set,1
Chapter 16: Diseases of the genitourinary system,Excessive menstruation with irregular cycle (Super-Category),concept-set,22
Excessive menstruation with irregular cycle (Super-Category),Excessive menstruation with irregular cycle,concept-set,1
Chapter 16: Diseases of the genitourinary system,Anovulatory bleeding (Super-Category),concept-set,23
Anovulatory bleeding (Super-Category),Anovulatory bleeding,concept-set,1
Chapter 16: Diseases of the genitourinary system,"Abnormal uterine or vaginal bleeding, unspecified (Super-Category)",concept-set,24
"Abnormal uterine or vaginal bleeding, unspecified (Super-Category)","Abnormal uterine or vaginal bleeding, unspecified",concept-set,1
Chapter 16: Diseases of the genitourinary system,Menopausal or certain specified perimenopausal disorders (Super-Category),concept-set,25
Menopausal or certain specified perimenopausal disorders (Super-Category),Menopause,concept-set,1
Chapter 16: Diseases of the genitourinary system,Menopausal or certain specified perimenopausal disorders (Super-Category),concept-set,26
Menopausal or certain specified perimenopausal disorders (Super-Category),Postmenopausal uterine bleeding,concept-set,2
Chapter 16: Diseases of the genitourinary system,Menopausal or certain specified perimenopausal disorders (Super-Category),concept-set,27
Menopausal or certain specified perimenopausal disorders (Super-Category),Postmenopausal atrophic vaginitis,concept-set,3
Chapter 16: Diseases of the genitourinary system,Menopausal or certain specified perimenopausal disorders (Super-Category),concept-set,28
Menopausal or certain specified perimenopausal disorders (Super-Category),Menopausal hot flush,concept-set,4
Chapter 16: Diseases of the genitourinary system,Menopausal or certain specified perimenopausal disorders (Super-Category),concept-set,29
Menopausal or certain specified perimenopausal disorders (Super-Category),Premature ovarian failure,concept-set,5
Chapter 16: Diseases of the genitourinary system,Female infertility (Super-Category),concept-set,30
Female infertility (Super-Category),Female infertility,concept-set,1
Chapter 16: Diseases of the genitourinary system,Female infertility (Super-Category),concept-set,31
Female infertility (Super-Category),Primary female infertility,concept-set,2
Chapter 16: Diseases of the genitourinary system,Female infertility (Super-Category),concept-set,32
Female infertility (Super-Category),Secondary female infertility,concept-set,3
Chapter 16: Diseases of the genitourinary system,Recurrent pregnancy loss (Super-Category),concept-set,33
Recurrent pregnancy loss (Super-Category),Recurrent pregnancy loss,concept-set,1
Chapter 16: Diseases of the genitourinary system,Female pelvic pain associated with genital organs or menstrual cycle (Super-Category),concept-set,34
Female pelvic pain associated with genital organs or menstrual cycle (Super-Category),Dysmenorrhoea,concept-set,1
Chapter 16: Diseases of the genitourinary system,Female pelvic pain associated with genital organs or menstrual cycle (Super-Category),concept-set,35
Female pelvic pain associated with genital organs or menstrual cycle (Super-Category),Premenstrual disturbances,concept-set,2
Chapter 16: Diseases of the genitourinary system,Sensory disturbance of the vulva (Super-Category),concept-set,36
Sensory disturbance of the vulva (Super-Category),Vulval pruritus,concept-set,1
Chapter 16: Diseases of the genitourinary system,Other specified diseases of the female genital system (Super-Category),concept-set,37
Other specified diseases of the female genital system (Super-Category),Other specified diseases of the female genital system,concept-set,1
Chapter 16: Diseases of the genitourinary system,Ulcerative disorders of the penis or scrotum (Super-Category),concept-set,38
Ulcerative disorders of the penis or scrotum (Super-Category),Ulcerative disorders of the penis or scrotum,concept-set,1
Chapter 16: Diseases of the genitourinary system,Hyperplasia of prostate (Super-Category),concept-set,39
Hyperplasia of prostate (Super-Category),Hyperplasia of prostate,concept-set,1
Chapter 16: Diseases of the genitourinary system,Inflammatory and other diseases of prostate (Super-Category),concept-set,40
Inflammatory and other diseases of prostate (Super-Category),Other specified inflammatory and other diseases of prostate,concept-set,1
Chapter 16: Diseases of the genitourinary system,"Torsion of testis, epididymis or appendices (Super-Category)",concept-set,41
"Torsion of testis, epididymis or appendices (Super-Category)",Torsion of testis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Orchitis or epididymitis (Super-Category),concept-set,42
Orchitis or epididymitis (Super-Category),Orchitis or epididymitis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Male infertility (Super-Category),concept-set,43
Male infertility (Super-Category),Male infertility,concept-set,1
Chapter 16: Diseases of the genitourinary system,"Redundant prepuce, phimosis or paraphimosis (Super-Category)",concept-set,44
"Redundant prepuce, phimosis or paraphimosis (Super-Category)",Phimosis,concept-set,1
Chapter 16: Diseases of the genitourinary system,"Redundant prepuce, phimosis or paraphimosis (Super-Category)",concept-set,45
"Redundant prepuce, phimosis or paraphimosis (Super-Category)",Paraphimosis,concept-set,2
Chapter 16: Diseases of the genitourinary system,Certain specified disorders of penis (Super-Category),concept-set,46
Certain specified disorders of penis (Super-Category),Priapism,concept-set,1
Chapter 16: Diseases of the genitourinary system,Other specified diseases of the male genital system (Super-Category),concept-set,47
Other specified diseases of the male genital system (Super-Category),Other specified diseases of the male genital system,concept-set,1
Chapter 16: Diseases of the genitourinary system,Inflammatory disorders of breast (Super-Category),concept-set,48
Inflammatory disorders of breast (Super-Category),Breast abscess,concept-set,1
Chapter 16: Diseases of the genitourinary system,Inflammatory disorders of breast (Super-Category),concept-set,49
Inflammatory disorders of breast (Super-Category),"Inflammatory disorders of breast, unspecified",concept-set,2
Chapter 16: Diseases of the genitourinary system,Certain specified disorders of breast (Super-Category),concept-set,50
Certain specified disorders of breast (Super-Category),Fissure or fistula of nipple,concept-set,1
Chapter 16: Diseases of the genitourinary system,Certain specified disorders of breast (Super-Category),concept-set,51
Certain specified disorders of breast (Super-Category),Mastodynia,concept-set,2
Chapter 16: Diseases of the genitourinary system,"Disorders of breast, unspecified (Super-Category)",concept-set,52
"Disorders of breast, unspecified (Super-Category)","Disorders of breast, unspecified",concept-set,1
Chapter 16: Diseases of the genitourinary system,Nephritic syndrome (Super-Category),concept-set,53
Nephritic syndrome (Super-Category),Nephritic syndrome,concept-set,1
Chapter 16: Diseases of the genitourinary system,Nephrotic syndrome (Super-Category),concept-set,54
Nephrotic syndrome (Super-Category),Nephrotic syndrome,concept-set,1
Chapter 16: Diseases of the genitourinary system,Acute pyelonephritis (Super-Category),concept-set,55
Acute pyelonephritis (Super-Category),Acute pyelonephritis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Acute tubular necrosis (Super-Category),concept-set,56
Acute tubular necrosis (Super-Category),Acute tubular necrosis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Pyonephrosis (Super-Category),concept-set,57
Pyonephrosis (Super-Category),Pyonephrosis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Renal or perinephric abscess (Super-Category),concept-set,58
Renal or perinephric abscess (Super-Category),Renal or perinephric abscess,concept-set,1
Chapter 16: Diseases of the genitourinary system,Acute kidney failure (Super-Category),concept-set,59
Acute kidney failure (Super-Category),Acute kidney failure,concept-set,1
Chapter 16: Diseases of the genitourinary system,Chronic kidney disease (Super-Category),concept-set,60
Chronic kidney disease (Super-Category),Chronic kidney disease,concept-set,1
Chapter 16: Diseases of the genitourinary system,Calculus of upper urinary tract (Super-Category),concept-set,61
Calculus of upper urinary tract (Super-Category),Calculus of kidney,concept-set,1
Chapter 16: Diseases of the genitourinary system,Calculus of lower urinary tract (Super-Category),concept-set,62
Calculus of lower urinary tract (Super-Category),Calculus in bladder,concept-set,1
Chapter 16: Diseases of the genitourinary system,"Urolithiasis, unspecified (Super-Category)",concept-set,63
"Urolithiasis, unspecified (Super-Category)","Urolithiasis, unspecified",concept-set,1
Chapter 16: Diseases of the genitourinary system,Cystitis (Super-Category),concept-set,64
Cystitis (Super-Category),Cystitis,concept-set,1
Chapter 16: Diseases of the genitourinary system,Urethral stricture (Super-Category),concept-set,65
Urethral stricture (Super-Category),Urethral stricture,concept-set,1
Chapter 16: Diseases of the genitourinary system,Fistula of the genitourinary tract (Super-Category),concept-set,66
Fistula of the genitourinary tract (Super-Category),Urethral fistula,concept-set,1
Chapter 16: Diseases of the genitourinary system,Fistula of the genitourinary tract (Super-Category),concept-set,67
Fistula of the genitourinary tract (Super-Category),Fistulae involving female genital tract,concept-set,2
Chapter 16: Diseases of the genitourinary system,Fistula of the genitourinary tract (Super-Category),concept-set,68
Fistula of the genitourinary tract (Super-Category),Urethrovaginal fistula,concept-set,3
Chapter 16: Diseases of the genitourinary system,Fistula of the genitourinary tract (Super-Category),concept-set,69
Fistula of the genitourinary tract (Super-Category),Rectovaginal fistula,concept-set,4
Chapter 16: Diseases of the genitourinary system,Fistula of the genitourinary tract (Super-Category),concept-set,70
Fistula of the genitourinary tract (Super-Category),Other specified fistula of the genitourinary tract,concept-set,5
Chapter 16: Diseases of the genitourinary system,Urethral caruncle (Super-Category),concept-set,71
Urethral caruncle (Super-Category),Urethral caruncle,concept-set,1
Chapter 16: Diseases of the genitourinary system,"Urinary tract infection, site not specified (Super-Category)",concept-set,72
"Urinary tract infection, site not specified (Super-Category)","Urinary tract infection, site not specified",concept-set,1
Chapter 16: Diseases of the genitourinary system,Other diseases of urinary system (Super-Category),concept-set,73
Other diseases of urinary system (Super-Category),Other diseases of urinary system,concept-set,1
Chapter 16: Diseases of the genitourinary system,Pelvic organ prolapse (Super-Category),concept-set,74
Pelvic organ prolapse (Super-Category),Uterovaginal prolapse,concept-set,1
Chapter 16: Diseases of the genitourinary system,Female Genital Mutilation (Super-Category),concept-set,75
Female Genital Mutilation (Super-Category),Female Genital Mutilation,concept-set,1
Chapter 16: Diseases of the genitourinary system,Other specified diseases of the genitourinary system (Super-Category),concept-set,76
Other specified diseases of the genitourinary system (Super-Category),Other specified diseases of the genitourinary system,concept-set,1
Chapter 17: Conditions related to sexual health,Sexual arousal dysfunctions (Super-Category),concept-set,1
Sexual arousal dysfunctions (Super-Category),Male erectile dysfunction,concept-set,1
Chapter 17: Conditions related to sexual health,Ejaculatory dysfunctions (Super-Category),concept-set,2
Ejaculatory dysfunctions (Super-Category),Male delayed ejaculation,concept-set,1
Chapter 17: Conditions related to sexual health,"Sexual dysfunctions, unspecified (Super-Category)",concept-set,3
"Sexual dysfunctions, unspecified (Super-Category)","Sexual dysfunctions, unspecified",concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Abortion (Super-Category),concept-set,1
Abortion (Super-Category),Spontaneous abortion,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Abortion (Super-Category),concept-set,2
Abortion (Super-Category),Induced abortion,concept-set,2
"Chapter 18: Pregnancy, childbirth or the puerperium",Ectopic pregnancy (Super-Category),concept-set,3
Ectopic pregnancy (Super-Category),"Ectopic pregnancy, unspecified",concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Missed abortion (Super-Category),concept-set,4
Missed abortion (Super-Category),Missed abortion,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium","Complications following abortion, ectopic or molar pregnancy (Super-Category)",concept-set,5
"Complications following abortion, ectopic or molar pregnancy (Super-Category)","Other specified complications following abortion, ectopic or molar pregnancy",concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Gestational hypertension (Super-Category),concept-set,6
Gestational hypertension (Super-Category),Gestational hypertension,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Pre-eclampsia (Super-Category),concept-set,7
Pre-eclampsia (Super-Category),Pre-eclampsia,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Eclampsia (Super-Category),concept-set,8
Eclampsia (Super-Category),Eclampsia,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium","Oedema, proteinuria, or hypertensive disorders in pregnancy, childbirth, or the puerperium, unspecified (Super-Category)",concept-set,9
"Oedema, proteinuria, or hypertensive disorders in pregnancy, childbirth, or the puerperium, unspecified (Super-Category)","Oedema, proteinuria, or hypertensive disorders in pregnancy, childbirth, or the puerperium, unspecified",concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Haemorrhage in early pregnancy (Super-Category),concept-set,10
Haemorrhage in early pregnancy (Super-Category),Threatened abortion,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Antepartum haemorrhage (Super-Category),concept-set,11
Antepartum haemorrhage (Super-Category),Antepartum haemorrhage,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Intrapartum haemorrhage (Super-Category),concept-set,12
Intrapartum haemorrhage (Super-Category),Intrapartum haemorrhage,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Postpartum haemorrhage (Super-Category),concept-set,13
Postpartum haemorrhage (Super-Category),Postpartum haemorrhage,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Excessive vomiting in pregnancy (Super-Category),concept-set,14
Excessive vomiting in pregnancy (Super-Category),Excessive vomiting in pregnancy,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Venous complications in pregnancy (Super-Category),concept-set,15
Venous complications in pregnancy (Super-Category),Varicose veins of lower extremity in pregnancy,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Venous complications in pregnancy (Super-Category),concept-set,16
Venous complications in pregnancy (Super-Category),Genital varices in pregnancy,concept-set,2
"Chapter 18: Pregnancy, childbirth or the puerperium",Venous complications in pregnancy (Super-Category),concept-set,17
Venous complications in pregnancy (Super-Category),Haemorrhoids in pregnancy,concept-set,3
"Chapter 18: Pregnancy, childbirth or the puerperium",in pregnancy (Super-Category),concept-set,18
in pregnancy (Super-Category),Diabetes mellitus in pregnancy,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Malnutrition in pregnancy (Super-Category),concept-set,19
Malnutrition in pregnancy (Super-Category),Malnutrition in pregnancy,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Maternal care for other conditions predominantly related to pregnancy (Super-Category),concept-set,20
Maternal care for other conditions predominantly related to pregnancy (Super-Category),Excessive weight gain in pregnancy,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Maternal care for other conditions predominantly related to pregnancy (Super-Category),concept-set,21
Maternal care for other conditions predominantly related to pregnancy (Super-Category),Low weight gain in pregnancy,concept-set,2
"Chapter 18: Pregnancy, childbirth or the puerperium",Maternal care related to polyhydramnios (Super-Category),concept-set,22
Maternal care related to polyhydramnios (Super-Category),Maternal care related to polyhydramnios,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Maternal care related to certain specified disorders of amniotic fluid or membranes (Super-Category),concept-set,23
Maternal care related to certain specified disorders of amniotic fluid or membranes (Super-Category),Oligohydramnios,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Maternal care related to premature rupture of membranes (Super-Category),concept-set,24
Maternal care related to premature rupture of membranes (Super-Category),Preterm premature rupture of membranes,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Preterm labour or delivery (Super-Category),concept-set,25
Preterm labour or delivery (Super-Category),Preterm labour or delivery,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Failed induction of labour (Super-Category),concept-set,26
Failed induction of labour (Super-Category),Failed induction of labour,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Abnormalities of forces of labour (Super-Category),concept-set,27
Abnormalities of forces of labour (Super-Category),Precipitate labour,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Long labour (Super-Category),concept-set,28
Long labour (Super-Category),Prolonged first stage of labour,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Long labour (Super-Category),concept-set,29
Long labour (Super-Category),Prolonged second stage of labour,concept-set,2
"Chapter 18: Pregnancy, childbirth or the puerperium",Obstructed labour due to malposition or malpresentation of fetus (Super-Category),concept-set,30
