concept,member,member type,sort weight
Chapter 1: Certain infectious or parasitic diseases,Acute poliomyelitis (Super-Category),concept-set,44
Acute poliomyelitis (Super-Category),Acute poliomyelitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Rabies (Super-Category),concept-set,45
Rabies (Super-Category),Rabies,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Infectious meningitis not elsewhere classified (Super-Category),concept-set,46
Infectious meningitis not elsewhere classified (Super-Category),Bacterial meningitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Dengue fever, unspecified (Super-Category)",concept-set,47
"Dengue fever, unspecified (Super-Category)","Dengue fever, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Chikungunya virus disease (Super-Category),concept-set,48
Chikungunya virus disease (Super-Category),Chikungunya virus disease,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Yellow fever (Super-Category),concept-set,49
Yellow fever (Super-Category),Yellow fever,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Mumps (Super-Category),concept-set,50
Mumps (Super-Category),Mumps,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Viral conjunctivitis (Super-Category),concept-set,51
Viral conjunctivitis (Super-Category),Viral conjunctivitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Influenza, virus not identified (Super-Category)",concept-set,52
"Influenza, virus not identified (Super-Category)","Influenza, virus not identified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,53
Acute viral hepatitis (Super-Category),Acute viral hepatitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,54
Acute viral hepatitis (Super-Category),Acute hepatitis A,concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,55
Acute viral hepatitis (Super-Category),Acute hepatitis B,concept-set,3
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,56
Acute viral hepatitis (Super-Category),Acute hepatitis C,concept-set,4
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,57
Acute viral hepatitis (Super-Category),Acute hepatitis E,concept-set,5
Chapter 1: Certain infectious or parasitic diseases,Chronic viral hepatitis (Super-Category),concept-set,58
Chronic viral hepatitis (Super-Category),Chronic viral hepatitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Molluscum contagiosum (Super-Category),concept-set,59
Molluscum contagiosum (Super-Category),Molluscum contagiosum,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Common warts (Super-Category),concept-set,60
Common warts (Super-Category),Common warts,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Varicella (Super-Category),concept-set,61
Varicella (Super-Category),Varicella,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Zoster (Super-Category),concept-set,62
Zoster (Super-Category),Zoster,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Herpes simplex infections (Super-Category),concept-set,63
Herpes simplex infections (Super-Category),Herpes simplex infections,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Measles (Super-Category),concept-set,64
Measles (Super-Category),Measles,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Measles (Super-Category),concept-set,65
Measles (Super-Category),Measles with other complications,concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Candidosis (Super-Category),concept-set,66
Candidosis (Super-Category),Candidosis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Dermatophytosis (Super-Category),concept-set,67
Dermatophytosis (Super-Category),Dermatophytosis of scalp,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Dermatophytosis (Super-Category),concept-set,68
Dermatophytosis (Super-Category),Dermatophytosis of nail,concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Dermatophytosis (Super-Category),concept-set,69
Dermatophytosis (Super-Category),Dermatophytosis of foot,concept-set,3
Chapter 1: Certain infectious or parasitic diseases,Dermatophytosis (Super-Category),concept-set,70
Dermatophytosis (Super-Category),Genitocrural dermatophytosis,concept-set,4
Chapter 1: Certain infectious or parasitic diseases,Non-dermatophyte superficial dermatomycoses (Super-Category),concept-set,71
Non-dermatophyte superficial dermatomycoses (Super-Category),Pityriasis versicolor,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Mycoses, unspecified (Super-Category)",concept-set,72
"Mycoses, unspecified (Super-Category)","Mycoses, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Malaria due to Plasmodium falciparum (Super-Category),concept-set,73
Malaria due to Plasmodium falciparum (Super-Category),Malaria due to Plasmodium falciparum,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Malaria due to Plasmodium vivax (Super-Category),concept-set,74
Malaria due to Plasmodium vivax (Super-Category),Malaria due to Plasmodium vivax,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Other parasitologically confirmed malaria (Super-Category),concept-set,75
Other parasitologically confirmed malaria (Super-Category),Other parasitologically confirmed malaria,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Malaria without parasitological confirmation (Super-Category),concept-set,76
Malaria without parasitological confirmation (Super-Category),Malaria without parasitological confirmation,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,African trypanosomiasis (Super-Category),concept-set,77
African trypanosomiasis (Super-Category),African trypanosomiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Chagas disease (Super-Category),concept-set,78
Chagas disease (Super-Category),Chagas disease,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Leishmaniasis (Super-Category),concept-set,79
Leishmaniasis (Super-Category),"Leishmaniasis, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Ascariasis (Super-Category),concept-set,80
Ascariasis (Super-Category),Ascariasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Dracunculiasis (Super-Category),concept-set,81
Dracunculiasis (Super-Category),Dracunculiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Enterobiasis (Super-Category),concept-set,82
Enterobiasis (Super-Category),Enterobiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Filariasis (Super-Category),concept-set,83
Filariasis (Super-Category),Lymphatic filariasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Filariasis (Super-Category),concept-set,84
Filariasis (Super-Category),"Filariasis, unspecified",concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Hookworm diseases (Super-Category),concept-set,85
Hookworm diseases (Super-Category),Hookworm diseases,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Onchocerciasis (Super-Category),concept-set,86
Onchocerciasis (Super-Category),Onchocerciasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Strongyloidiasis (Super-Category),concept-set,87
Strongyloidiasis (Super-Category),Strongyloidiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Trichuriasis (Super-Category),concept-set,88
Trichuriasis (Super-Category),Trichuriasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Cysticercosis (Super-Category),concept-set,89
Cysticercosis (Super-Category),Cysticercosis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Taeniasis (Super-Category),concept-set,90
Taeniasis (Super-Category),Taeniasis due to Taenia solium,concept-set,1
