concept,member,member type,sort weight,void/retire,_version:1
Laboratory Order,Semen analysis test,concept-set,138,,1
Laboratory Order,Cervical Culture,concept-set,139,,1
Laboratory Order,COVID-19 Ag rapid test,concept-set,140,,1
Laboratory Order,EID/DBS,concept-set,141,,1
Laboratory Order,Fungal culture,concept-set,142,,1
Laboratory Order,HBcAg,concept-set,143,,1
Laboratory Order,HPV for type 16/18,concept-set,144,,1
Laboratory Order,Iodized CA,concept-set,145,,1
Laboratory Order,Pleural fluid AFB,concept-set,146,,1
Laboratory Order,Urine blood (dipstick),concept-set,147,,1
Laboratory Order,HBsAg Rapid Diagnostic Test,concept-set,148,,1
Laboratory Order,HAV Diagnostic Test,concept-set,149,,1
Laboratory Order,HCV Diagnostic Test,concept-set,150,,1
Laboratory Order,Fasting Lipid Panel Test,concept-set,200,true,1
Laboratory Order,Ascitic Fluid Culture and Sensitivity,concept-set,201,true,1
Laboratory Order,Pleural Fluid Culture and Sensitivity,concept-set,202,true,1
Laboratory Order,Synovial Fluid Culture and Sensitivity Test,concept-set,203,true,1
Laboratory Order,Fluid MCS Test,concept-set,204,true,1
Laboratory Order,HVS Culture and Sensitivity Test,concept-set,205,true,1
