Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1,Member,Concept,Member Type
0ff3dbd5-b75d-452e-a1bf-b7b60951d084,,,Shoe cover of 100pcs,,Medical supply,N/A,,,3,Shoe cover of 100pcs,Medical Supply Items,CONCEPT-SET
8ff37d4c-61b8-4552-b29e-de3f49ccd1f3,,,Respirator MSA 1/2 face 808075 of 3 pcs,,Medical supply,N/A,,,3,Respirator MSA 1/2 face 808075 of 3 pcs,Medical Supply Items,CONCEPT-SET
bcbc0219-f0fb-4f0f-8687-12908dd41c8d,,,Coverall Pentamax C3909 1xL of 25pcs,,Medical supply,N/A,,,3,Coverall Pentamax C3909 1xL of 25pcs,Medical Supply Items,CONCEPT-SET
2923a2d3-1c2d-405f-b06b-d388108bbdb9,,,Respirator MSA 1/2 face 808073 of 42 pcs,,Medical supply,N/A,,,3,Respirator MSA 1/2 face 808073 of 42 pcs,Medical Supply Items,CONCEPT-SET
bd75417c-a637-48d2-b1a3-6a566cd24f8f,,,Respirator Face mask of 320pcs,,Medical supply,N/A,,,3,Respirator Face mask of 320pcs,Medical Supply Items,CONCEPT-SET
2d2d238f-fbf1-4baa-854d-051e2e74c714,,,Syringe(AD) -0.3ml,,Medical supply,N/A,,,3,Syringe(AD) -0.3ml,Medical Supply Items,CONCEPT-SET
7826d094-e6c3-4102-9f7a-0b01f88e205d,,,Respirator 3M N95 8000 of 4680 pcs,,Medical supply,N/A,,,3,Respirator 3M N95 8000 of 4680 pcs,Medical Supply Items,CONCEPT-SET
aee54ec5-c907-4491-a2d0-b38619cf4475,,,Filter pad cap MSA of 100pcs,,Medical supply,N/A,,,3,Filter pad cap MSA of 100pcs,Medical Supply Items,CONCEPT-SET
c2569ec3-c06a-4720-809e-7d7ab9f4630f,,,Coverall Pentamax C3909 4xL of 25pcs,,Medical supply,N/A,,,3,Coverall Pentamax C3909 4xL of 25pcs,Medical Supply Items,CONCEPT-SET
82ae9358-9def-4f13-b8d2-9d2a4ca7867c,,,Filter pad MSA p100 canister 815177 of 180pcs,,Medical supply,N/A,,,3,Filter pad MSA p100 canister 815177 of 180pcs,Medical Supply Items,CONCEPT-SET
0cc898e4-1aa7-4643-a593-db5e33bff9aa,,,Coverall Pentamax C3909 3xL of 75pcs,,Medical supply,N/A,,,3,Coverall Pentamax C3909 3xL of 75pcs,Medical Supply Items,CONCEPT-SET
1778c69c-aa4d-4c8f-b004-185a3f937829,,,Filter pad MSA p100 816662 of 145pcs,,Medical supply,N/A,,,3,Filter pad MSA p100 816662 of 145pcs,Medical Supply Items,CONCEPT-SET
dd3d9fae-3a8a-4fc1-ad71-3d014d3dc611,,,Coverall Enviroguard 8015V of 80pcs,,Medical supply,N/A,,,3,Coverall Enviroguard 8015V of 80pcs,Medical Supply Items,CONCEPT-SET
fa3e85cb-4633-4e67-979f-b32b425355a3,,,Filter pad MSA p100 canister 10153412 of 1350pcs,,Medical supply,N/A,,,3,Filter pad MSA p100 canister 10153412 of 1350pcs,Medical Supply Items,CONCEPT-SET
93a3f29c-e540-446f-86e3-5c4bd39129a3,,,Coverall Pentamax C3909 2xL of 75pcs,,Medical supply,N/A,,,3,Coverall Pentamax C3909 2xL of 75pcs,Medical Supply Items,CONCEPT-SET
1c856a87-6925-490f-b876-152b5ffb0dc4,,,Plaster Of Paris (P.O.P) -20cm x 2.7m,,Medical supply,N/A,,,3,Plaster Of Paris (P.O.P) -20cm x 2.7m,Medical Supply Items,CONCEPT-SET
22440e41-8f98-469d-a738-0896497d471f,,,Injection Stopper for IV Cannula,,Medical supply,N/A,,,3,Injection Stopper for IV Cannula,Medical Supply Items,CONCEPT-SET
65dd9030-8bf9-4c31-a1ab-cc7e1f7687a1,,,Blood Collecting  Bag CPDA1 Anticoagulant Single-150ml,,Medical supply,N/A,,,3,Blood Collecting  Bag CPDA1 Anticoagulant Single-150ml,Medical Supply Items,CONCEPT-SET
ae910ffa-8329-4054-b865-735a07941021,,,Infusion Giving Set-Pediatric ,,Medical supply,N/A,,,3,Infusion Giving Set-Pediatric ,Medical Supply Items,CONCEPT-SET
9e180188-0279-4993-8bd5-212753fe6cba,,,Adhesive Plaster Zinc Oxide-2.5cm x 5m,,Medical supply,N/A,,,3,Adhesive Plaster Zinc Oxide-2.5cm x 5m,Medical Supply Items,CONCEPT-SET
81f7c746-16f8-4478-b298-5c52c3002edc,,,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 6,,Medical supply,N/A,,,3,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 6,Medical Supply Items,CONCEPT-SET
f9b5829e-6624-48b8-9a97-53cb26064f2a,,,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 5.5,,Medical supply,N/A,,,3,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 5.5,Medical Supply Items,CONCEPT-SET
b2fc2a02-203e-445d-943e-dbac6833980e,,,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 4.5,,Medical supply,N/A,,,3,Tracheostomy Tube-Plastic With 90 Degree Curvature Size 4.5,Medical Supply Items,CONCEPT-SET
ca5aeaa2-4d56-4308-8d63-93e230f9f718,,,Lint free cloth,,Medical supply,N/A,,,3,Lint free cloth,Medical Supply Items,CONCEPT-SET
474ed8b2-bd5c-4d07-8029-ed3c45230ee2,,,"Absorbent pad with plastic Backing (Blue diapers),-, 17x24 inches, 250/cases/5/pack",,Medical supply,N/A,,,3,"Absorbent pad with plastic Backing (Blue diapers),-, 17x24 inches, 250/cases/5/pack",Medical Supply Items,CONCEPT-SET
74fc70c9-07fb-4632-8d62-6e90336fe9e1,,,Alinity i - Pipettor probes,,Medical supply,N/A,,,3,Alinity i - Pipettor probes,Medical Supply Items,CONCEPT-SET
4a95fb03-0311-480e-b301-7232276b07e6,,,Cap R Rdy ind cel 10x11.5ml,,Medical supply,N/A,,,3,Cap R Rdy ind cel 10x11.5ml,Medical Supply Items,CONCEPT-SET
fdc358ba-ad29-4156-a010-b4f5ff7ee9a7,,,Capture R Ready Screen I/II,,Medical supply,N/A,,,3,Capture R Ready Screen I/II,Medical Supply Items,CONCEPT-SET
1f76eea8-fab9-488b-afec-589b5aaac3ba,,,Cap R control set 2x11.5ml,,Medical supply,N/A,,,3,Cap R control set 2x11.5ml,Medical Supply Items,CONCEPT-SET
0caf4152-571f-46e1-98ca-3f0e9c7b54e6,,,"Bed Sheet-289x178cm , Washable",,Medical supply,N/A,,,3,"Bed Sheet-289x178cm , Washable",Medical Supply Items,CONCEPT-SET
936e9c27-7853-4c04-ab8e-3a98a75083b9,,,"Polyglycolic acid absorbable braided violet-Size 3, 27mm KS reverse cutting",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 3, 27mm KS reverse cutting",Medical Supply Items,CONCEPT-SET
e1b4d9fc-9aea-4bd9-a216-583b353122ea,,,COBAS Omni 6800/8800 - Secondary Tube,,Medical supply,N/A,,,3,COBAS Omni 6800/8800 - Secondary Tube,Medical Supply Items,CONCEPT-SET
9cbcdbc4-cbf9-4fa4-a6f4-6eee125880ae,,,"Polyglycolic acid absorbable braided violet-Size 4, 18mm Ps-3 cutting",,Medical supply,N/A,,,3,"Polyglycolic acid absorbable braided violet-Size 4, 18mm Ps-3 cutting",Medical Supply Items,CONCEPT-SET
