Uuid,Void/Retire,Concept,Member,Member Type,Sort Weight
39e0408b-6b02-46f7-8c5c-3115f31cdb04,,Medical Supply Items,Gauze Bandage B/P Mesh 28 x 24 size 7.5cm x 5m,CONCEPT-SET,74
5b4e9abc-d00e-408e-bd90-2099972e90d5,,Medical Supply Items,Gauze Bandage B/P Mesh 28 x 24 size 12.5cm x 5m,CONCEPT-SET,75
67544e97-ca91-4c0e-959c-f845133d83d2,,Medical Supply Items,Gauze Surgical 90cm x 100m,CONCEPT-SET,76
604ff38b-620a-4d15-be96-6ffc8b7bf91d,,Medical Supply Items,Heavy Duty Glove Rubber Resistance to Chemical (Large) Size,CONCEPT-SET,77
f61ccada-4b99-48c5-9d69-529a4759b223,,Medical Supply Items,"Insulin Syringe ,100iu/ml, 1ml with 29G needle, disposable",CONCEPT-SET,78
6c8d3c08-8663-41d1-bc48-e3f21118598c,,Medical Supply Items,Examination Glove Latex disposable Non Sterile Medium size,CONCEPT-SET,79
b8006839-7654-41e2-8c29-fbe2a6be223f,,Medical Supply Items,Surgical Glove sterile Latex No. 7,CONCEPT-SET,80
abe7c0fc-f059-4125-a1de-cd0359857cc1,,Medical Supply Items,Paraffin Gauze 10cm x 10cm,CONCEPT-SET,81
e7dca832-95a3-4f40-b857-fed0b3f04907,,Medical Supply Items,Plaster Of Paris (P.O.P) 10cm x 3m,CONCEPT-SET,82
1f158651-910b-475d-942c-71f849a0eb45,,Medical Supply Items,Plaster Of Paris (P.O.P) 15cm x 3m,CONCEPT-SET,83
9dbf948e-c394-4318-b188-919ae6b8bcdf,,Medical Supply Items,Plaster Of Paris (P.O.P) 15 cm x 3m,CONCEPT-SET,84
5520fc82-a100-4dcb-9c35-95d61ab8a42b,,Medical Supply Items,Suction Catheter transparent with funnel silconized adult size(Sterile) for single use,CONCEPT-SET,85
c2a4423c-b070-4b00-a494-54d6fc47a8b3,,Medical Supply Items,Silconized Cannula with 30cm extension tube steile 23chg of 100's,CONCEPT-SET,86
a4c1d4b3-40fb-4b94-a464-0d8dc7842e30,,Medical Supply Items,Silconized Cannula with 30cm extension tube steile 25chg of 100's,CONCEPT-SET,87
2e00adc5-bf4e-42e9-b7e2-c5200e6de86c,,Medical Supply Items,Umblical Clamp 5.3cm Sterile,CONCEPT-SET,88
ebdf00c0-7743-4741-8858-7b8a9694bcc5,,Medical Supply Items,Centrifuge Tube ungraduated Xonical,CONCEPT-SET,89
e73cd234-3233-4cec-9f7d-0019e520b5d0,,Medical Supply Items,"Centrifuge Tube round bottom ,ungraduated 1.2mm x 100 x 16mm",CONCEPT-SET,90
90cb764c-c94c-4684-8993-dc5690c144cb,,Medical Supply Items,Blood Collecting Bag,CONCEPT-SET,91
f5071e71-2a2d-4dc7-9918-aeb49f56854e,,Medical Supply Items,Apron Plastics,CONCEPT-SET,92
d6d53cee-c206-425b-ac4e-8195e48e1237,,Medical Supply Items,Cannula Intravenous Set (IV Cannula) 16G,CONCEPT-SET,93
d68d838d-0108-40d8-bbaf-b3f66d4c9687,,Medical Supply Items,Sheets Vinyl size 18cmx91cm,CONCEPT-SET,94
847092d9-5cd0-41a3-a199-957a5cc86378,,Medical Supply Items,Scalp Vein Winged Infusion Set 23G,CONCEPT-SET,95
273bd0d3-6d6c-4060-9a89-6817da67564e,,Medical Supply Items,Scalp Vein Winged Infusion Set 25G,CONCEPT-SET,96
52136894-b6c9-4512-bddd-8ee9a62a793a,,Medical Supply Items,Surgical Glove No.7.5,CONCEPT-SET,97
c9451d2d-3c11-4a82-a4b0-c2702c55dcea,,Medical Supply Items,Gauze Dress 3x4.1 yrd Non sterile Roll,CONCEPT-SET,98
ccf5146b-e704-49da-96f8-eb92e391fb3b,,Medical Supply Items,Humidity Indicating Cards,CONCEPT-SET,99
76dd8f68-8d17-4233-9b32-f4f704ecc430,,Medical Supply Items,Aluminum Foil 37.5 (Diamond),CONCEPT-SET,100
77937378-a87d-4909-99ac-823db6e18b0e,,Medical Supply Items,BD Microtainer Tube K2EDTA 250 500 µl.,CONCEPT-SET,101
ea23f94e-8c18-4387-9c89-6fdaf6883cae,,Medical Supply Items,Absorbent Underpads,CONCEPT-SET,102
50a5c67b-c33d-4986-8683-29123a07e7af,,Medical Supply Items,Bottle and Cap (EV 431),CONCEPT-SET,103
5bcc1a72-8375-4834-8c24-673a2bc913e9,,Medical Supply Items,Disposable Syringe 10ml with Needle,CONCEPT-SET,104
84555701-3fe2-4398-84b2-87177cc8f5ad,,Medical Supply Items,"Gauze Swab 10cmx 10cm , 6 plys sterial",CONCEPT-SET,105
ab2930e0-0492-486b-a889-fbd8bc5148c4,,Medical Supply Items,Gauze Bandage 18cm x 5m mesh 28 x 24,CONCEPT-SET,106
837cfcd7-a0b5-4ef8-b538-fdf7f011bb63,,Medical Supply Items,Sharp Container,CONCEPT-SET,107
ce3efdb7-2f98-4dab-8ae9-0c66246e993c,,Medical Supply Items,Lense Cleancing Tissue,CONCEPT-SET,108
9a136c59-46b0-41ef-ba0c-8404803300c1,,Medical Supply Items,Adhesive Tape 5cmx9cm,CONCEPT-SET,109
5514da06-4b30-41ea-b1fb-bf72d537a6ee,,Medical Supply Items,Pasteur Pipette 3 ml,CONCEPT-SET,110
17bd335d-2e31-414c-994c-08788100e01b,,Medical Supply Items,"Cat Gut Chromic 3.5 (2/0), 75 cm HR 38 1/2 C.R.B 38mm heavy needle 334",CONCEPT-SET,111
f741c4e3-3771-404c-bd22-5e660387f5fa,,Medical Supply Items,Biohazard Bags 24x36 of 200,CONCEPT-SET,112
135f5b10-3800-4e94-bff8-8c79ea72c035,,Medical Supply Items,Auto Disposable Syringe 10ml with needle 21G,CONCEPT-SET,113
52329ef7-f9fc-4dd8-a6c2-52700195efc7,,Medical Supply Items,Sputem Cup,CONCEPT-SET,114
3e2d7cee-6c05-44ab-8ca3-8cffbc9f7b6d,,Medical Supply Items,Microscope Slide 76mm x 26mm of 50,CONCEPT-SET,115
544b81b2-4726-42f8-95de-3bdb6a918765,,Medical Supply Items,"Blood Lancets, Disposable Sterile",CONCEPT-SET,116
3665e48a-2a2b-4365-ac87-aa6a44bc6d94,,Medical Supply Items,Asucryl Synthetic Absorbable Braided Violet (PGA) 2/0 75cm on TS27 3/8C Rev.cutting 27mm 4575,CONCEPT-SET,117
a968fb50-dd88-40c7-856d-d456a675e277,,Medical Supply Items,"Polyamide Monofilament Gauge 0.2 (10/0) 30cm TRM 5 curved, 5mm long R>B. (taper) 100microns, micropoint 543360 dozen",CONCEPT-SET,118
bff34ec9-ce1e-4ee4-9d88-28cb421d522f,,Medical Supply Items,Infant Feeding Tube No.8,CONCEPT-SET,119
fa6b031a-290e-4c3d-bfe0-1495beabd5de,,Medical Supply Items,Rectal Catheter No. 28,CONCEPT-SET,120
b5d6847f-58f4-43cc-83af-230cd0d2db85,,Medical Supply Items,Rectal Catheter No. 30,CONCEPT-SET,121
3ef9902f-1847-42d7-b854-34a23a895856,,Medical Supply Items,Suction Catheter No.6,CONCEPT-SET,122
9761683d-4986-4ebf-88f1-b5dbd604ffcb,,Medical Supply Items,Suction Catheter No.8,CONCEPT-SET,123
dde39bae-46ed-47fe-99b2-5efe8f5f5ef2,,Medical Supply Items,Suction Catheter with Xroline No.28,CONCEPT-SET,124
5fc4b4a4-ebaa-4c26-89b1-7ae5d5fdbcba,,Medical Supply Items,Suction Catheter with Xroline No.4,CONCEPT-SET,125
eb049ce9-8022-4ea1-b2e4-6e11568160d9,,Medical Supply Items,Suction Catheter with Xroline No.6,CONCEPT-SET,126
533e0bd7-b9b8-4a1e-a96e-1714283b3783,,Medical Supply Items,Suction Catheter with Xroline No.8,CONCEPT-SET,127
