Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,Mappings|SAME-AS
8efcb4ad-ff61-41e8-a4c7-7ed0c4807505,,,"Disposable Syringe 3 parts , 5ml with 21G needle",,Medical supply,N/A,,,DAGU Item:2478
89ee8544-2984-434a-9a1c-839e7065b2ac,,,Tongue Depressor wooden,,Medical supply,N/A,,,DAGU Item:2501
ae218c42-903d-42e8-924f-b3a03393b850,,,Torniquate of double belt,,Medical supply,N/A,,,DAGU Item:2502
88adbc9d-553d-46ad-9f2b-a3e79b8145f5,,,Triangular Bandage size 96*96*136cm,,Medical supply,N/A,,,DAGU Item:2503
fa3af6cb-b28c-462f-bd92-8667eaccea75,,,Centrifuge Tube Glass Graduated 15ml,,Medical supply,N/A,,,DAGU Item:2531
4539ac3d-9e7f-493d-ad72-c27d629216cb,,,Examination Glove latex non sterile Large,,Medical supply,N/A,,,DAGU Item:2558
73584315-397b-4522-9d3e-2f954cbcad2d,,,Gauze Bandage 10cm x 5m,,Medical supply,N/A,,,DAGU Item:2563
262ef224-6a85-41aa-8c5b-f7ab6771b677,,,Ear Syringe 100ml metal complete in set stainless steel,,Medical supply,N/A,,,DAGU Item:2590
508c242e-af93-4ab6-b88a-6ca3cc459fe5,,,Gauze Bandage B/P Mesh 28 x 24 size 7.5cm x 5m,,Medical supply,N/A,,,DAGU Item:2597
82802e6b-e542-432c-8586-b7325278a6ce,,,Gauze Bandage B/P Mesh 28 x 24 size 12.5cm x 5m,,Medical supply,N/A,,,DAGU Item:2598
6a64ea13-a9fd-4ef0-9b1b-4ceb6f15593a,,,Gauze Surgical 90cm x 100m,,Medical supply,N/A,,,DAGU Item:2599
115fd356-2f51-4be9-a038-f21536b506f8,,,Heavy Duty Glove Rubber Resistance to Chemical (Large) Size,,Medical supply,N/A,,,DAGU Item:2601
d9cce5bb-7360-4660-bab3-752756c86bbb,,,"Insulin Syringe ,100iu/ml, 1ml with 29G needle, disposable",,Medical supply,N/A,,,DAGU Item:2602
c24e1074-022d-4879-b307-b3e4b194c5aa,,,Examination Glove Latex disposable Non Sterile Medium size,,Medical supply,N/A,,,DAGU Item:2604
6b3c6ec0-be91-4cc4-a470-e6a878aa9e12,,,Surgical Glove sterile Latex No. 7,,Medical supply,N/A,,,DAGU Item:2606
