Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
d20f829b-089b-4f21-a2c4-47c8b3095bac,,,Folinic Acid,,Drug,Text,,,5
adc81115-908b-4b65-b29f-a4e210d2f799,,,Clindamycin,,Drug,Text,,,5
dbb4da3d-28f5-40c8-b7fd-2ee307f15438,,,Praziquantel,,Drug,Text,,,5
bd3ad017-53f5-400d-b98f-859849e6ab5f,,,Albendazole,,Drug,Text,,,5
0d998afb-ffff-48fc-9a96-c74484821546,,,Levamisole,,Drug,Text,,,5
01175d38-625c-40a6-bc03-fd34cf57df0d,,,Mebendazole,,Drug,Text,,,5
8cb76467-bb75-4aec-bb25-17a79c1aa112,,,Dexamethasone,,Drug,Text,,,5
4fdee45f-53b1-49fc-a481-bd9491d6a2c7,,,Piperazine Citrate,,Drug,Text,,,5
7f787c58-1ef1-43b0-87c7-972f7503de42,,,Thiabendazole,,Drug,Text,,,5
3bfa642b-3614-42e9-baed-b811ff94e0d9,,,Prednisolone,,Drug,Text,,,5
27e4c35d-461c-4068-9e76-6a4a2d748be2,,,Triamcinolone Acetonide,,Drug,Text,,,5
4050f3cd-33c5-4f52-bd85-d18d9404eca2,,,Neostigmine Bromide,,Drug,Text,,,5
a79d4c5f-3416-4c77-b747-565793a1ed98,,,Propylthiouracil,,Drug,Text,,,5
09811155-0e2f-4111-b7ab-30fb8eb5bc1a,,,Thyroxine Sodium,,Drug,Text,,,5
0349c2b7-af8f-4c12-b556-b227ef929412,,,Insulin Soluble / Neutral (HPB),,Drug,Text,,,5
24c7777e-19f9-44c3-a785-c659382338cd,,,Insulin Zinc Suspension/Insulin Lente,,Drug,Text,,,5
01c58b1a-2b1f-412e-84d4-3d8d53beaac0,,,Glibenclamide,,Drug,Text,,,5
ccb81b10-081a-452b-b464-ee0649e2770e,,,Orphenadrine Citrate,,Drug,Text,,,5
ab4f2353-a90b-4dcd-bd08-25e6f4664375,,,Clotrimazole,,Drug,Text,,,5
475492cb-dff5-4585-a558-66c3ab3c6fff,,,Ergometrine Maleate,,Drug,Text,,,5
9ff697e4-266a-459e-8b05-c3d1560796a5,,,Heparin,,Drug,Text,,,5
448062bc-2999-4946-8d92-e1d25ca68c55,,,Warfarin Sodium,,Drug,Text,,,5
4220e7a7-583c-4fce-abb0-f6eda57b2a86,,,Ferrous Sulphate,,Drug,Text,,,5
3dc8c969-24bf-4507-8aec-605f0a635130,,,Ferrous Gluconate,,Drug,Text,,,5
7cda288d-5b86-4ead-89fc-9408640f740b,,,Calcium Gluconate,,Drug,Text,,,5
4fc916db-dae0-47a2-94ae-49c64433e2f9,,,Potassium Chloride,,Drug,Text,,,5
3e41d38f-7a3c-4790-a8c5-1b38373a96db,,,Dextrose,,Drug,Text,,,5
ab8f0545-3db9-45b8-aeb0-c4b84b73561b,,,Dextrose in Normal Saline,,Drug,Text,,,5
