Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
fd1adfdc-fd0f-4362-98fd-bd02e68a776d,,,Heavy Duty Glove Rubber Resistance to Chemical (Large) Size,,Medical supply,N/A,,,2
d5c0c2c8-e8a7-47ae-85fe-a7ca1c89ba81,,,"Insulin Syringe ,100iu/ml, 1ml with 29G needle, disposable",,Medical supply,N/A,,,2
087c847c-55b1-4843-be04-f2ca2758caad,,,Examination Glove Latex disposable Non Sterile Medium size,,Medical supply,N/A,,,2
f149691f-5e9c-4673-b84d-641816013ca3,,,Surgical Glove sterile Latex No. 7,,Medical supply,N/A,,,2
15b2a8a6-72c1-4e7a-af8c-f29d3d98bd54,,,Paraffin Gauze 10cm x 10cm,,Medical supply,N/A,,,2
3fb43de3-c636-4779-9787-b8ad58f17351,,,Plaster Of Paris (P.O.P) 10cm x 3m,,Medical supply,N/A,,,2
5522ecd4-ac40-46ec-ba84-2e46f0499ddd,,,Plaster Of Paris (P.O.P) 15cm x 3m,,Medical supply,N/A,,,2
70e804b9-a5f8-4576-b0cb-162c35167bef,,,Plaster Of Paris (P.O.P) 15 cm x 3m,,Medical supply,N/A,,,2
cf8b316e-e9a4-480e-95d6-974d770d6036,,,Suction Catheter transparent with funnel silconized adult size(Sterile) for single use,,Medical supply,N/A,,,2
c816fb29-df55-42aa-a1bb-289539d08dcc,,,Silconized Cannula with 30cm extension tube steile 23chg of 100's,,Medical supply,N/A,,,2
f5656e9b-d13c-4818-9ad1-ad6e48d0e6f4,,,Silconized Cannula with 30cm extension tube steile 25chg of 100's,,Medical supply,N/A,,,2
3ce94f9b-61e5-4084-92bc-6ce9a4ab0663,,,Umblical Clamp 5.3cm Sterile,,Medical supply,N/A,,,2
443f666a-8efe-411e-9c54-5bad0f1b041c,,,Centrifuge Tube ungraduated Xonical,,Medical supply,N/A,,,2
0c04248d-666e-48af-887e-5b9d1ce64a09,,,"Centrifuge Tube round bottom ,ungraduated 1.2mm x 100 x 16mm",,Medical supply,N/A,,,2
d9e49ab0-67e1-4672-a670-4c6cf6296c92,,,Blood Collecting Bag,,Medical supply,N/A,,,2
8404cf0d-1f02-4594-8117-f637c5042720,,,Apron Plastics,,Medical supply,N/A,,,2
4842ec29-8a93-40a0-97bc-0a3b45c18318,,,Cannula Intravenous Set (IV Cannula) 16G,,Medical supply,N/A,,,2
89f8cb37-f5b7-4c09-9479-ea6d49ded925,,,Sheets Vinyl size 18cmx91cm,,Medical supply,N/A,,,2
352993c9-35c5-44bb-bcfa-c8f45f14eed9,,,Scalp Vein Winged Infusion Set 23G,,Medical supply,N/A,,,2
a0249688-86ab-47a7-9d45-e8cae6b686f9,,,Scalp Vein Winged Infusion Set 25G,,Medical supply,N/A,,,2
f849964f-3655-4906-a0c3-d26d10afd549,,,Surgical Glove No.7.5,,Medical supply,N/A,,,2
0dbb32e2-3fb4-4f75-89d4-96675808a5c3,,,Gauze Dress 3x4.1 yrd Non sterile Roll,,Medical supply,N/A,,,2
50d4588f-4d06-4b56-809d-668814ecd630,,,Humidity Indicating Cards,,Medical supply,N/A,,,2
6d02ff8e-fbf9-40f4-8505-8c0953db74f6,,,Aluminum Foil 37.5 (Diamond),,Medical supply,N/A,,,2
4f3fa423-ad3d-48cb-ac5e-7a29266bdf63,,,BD Microtainer Tube K2EDTA 250 500 µl.,,Medical supply,N/A,,,2
4089abd5-bb86-4ff2-a92a-d1d27e78946f,,,Absorbent Underpads,,Medical supply,N/A,,,2
33ca1934-2540-434e-8770-9e92f2f92fd5,,,Bottle and Cap (EV 431),,Medical supply,N/A,,,2
d6346810-55ae-42d9-97e4-da3aea2cfb25,,,Disposable Syringe 10ml with Needle,,Medical supply,N/A,,,2
6f5cbeb4-f3ba-49d8-ade0-88f406323262,,,"Gauze Swab 10cmx 10cm , 6 plys sterial",,Medical supply,N/A,,,2
4a387759-db82-47c7-a8f2-f7fbf86d31eb,,,Gauze Bandage 18cm x 5m mesh 28 x 24,,Medical supply,N/A,,,2
b94d88d2-ec16-4ded-9dc2-b1e89fcfd4e8,,,Sharp Container,,Medical supply,N/A,,,2
c8824c22-ce8b-4275-aba6-db5ce8b95d19,,,Lense Cleancing Tissue,,Medical supply,N/A,,,2
f245c45e-b0c1-4436-b272-6aa0a5e97fff,,,Adhesive Tape 5cmx9cm,,Medical supply,N/A,,,2
5a9cde15-7e8d-49f7-8e13-cc4a2f7b5c29,,,Pasteur Pipette 3 ml,,Medical supply,N/A,,,2
f61bfc37-2642-4cdc-8b97-dabd0c2ea2a3,,,"Cat Gut Chromic 3.5 (2/0), 75 cm HR 38 1/2 C.R.B 38mm heavy needle 334",,Medical supply,N/A,,,2
8ee5f563-a968-475e-b94a-37d5e46fada3,,,Biohazard Bags 24x36 of 200,,Medical supply,N/A,,,2
4e436f80-fe74-498b-b76d-b18bcf7b4534,,,Auto Disposable Syringe 10ml with needle 21G,,Medical supply,N/A,,,2
ff2f3409-17c4-40b4-a091-204d24c7d78c,,,Sputem Cup,,Medical supply,N/A,,,2
99749a72-76cc-4c3f-80e2-ccda4db02104,,,Microscope Slide 76mm x 26mm of 50,,Medical supply,N/A,,,2
e8603940-0bc9-4d6a-a642-691455c757c2,,,"Blood Lancets, Disposable Sterile",,Medical supply,N/A,,,2
8d17031a-9f08-412e-9b0b-ec9c44ffd4b6,,,Asucryl Synthetic Absorbable Braided Violet (PGA) 2/0 75cm on TS27 3/8C Rev.cutting 27mm 4575,,Medical supply,N/A,,,2
d059ae57-eab8-46d2-adb1-429a8bf8c2e7,,,"Polyamide Monofilament Gauge 0.2 (10/0) 30cm TRM 5 curved, 5mm long R>B. (taper) 100microns, micropoint 543360 dozen",,Medical supply,N/A,,,2
594fc42b-8c84-4585-a549-129318096ad3,,,Infant Feeding Tube No.8,,Medical supply,N/A,,,2
78fb8047-11fc-4b33-8331-0bb9d098a25a,,,Rectal Catheter No. 28,,Medical supply,N/A,,,2
fd2f28b1-88f7-4184-aecb-03296fb661ea,,,Rectal Catheter No. 30,,Medical supply,N/A,,,2
63ae8d1f-9e82-4d9e-9f39-653bdad21000,,,Suction Catheter No.6,,Medical supply,N/A,,,2
b2329423-5fbd-4a82-adf8-204177dadb63,,,Suction Catheter No.8,,Medical supply,N/A,,,2
c94f8f8a-e392-4cbd-a8c4-cacfbcd57d6d,,,Suction Catheter with Xroline No.28,,Medical supply,N/A,,,2
84fe20aa-29a6-4d2c-8d70-af6ed03d63c4,,,Suction Catheter with Xroline No.4,,Medical supply,N/A,,,2
fd433b4a-647f-433b-970c-31cdc34fb5f3,,,Suction Catheter with Xroline No.6,,Medical supply,N/A,,,2
90ac81c2-9cdc-4a39-8f3b-73444c65aa21,,,Suction Catheter with Xroline No.8,,Medical supply,N/A,,,2
dff94494-91e4-4a5a-a7dd-f0b910b8e63c,,,Suction Catheter with Xroline No.23,,Medical supply,N/A,,,2
751b8dff-2b45-47be-b8b5-bb9e431677e7,,,Disposable Syringe 50ml with Needle,,Medical supply,N/A,,,2
11ded67e-654e-42c8-bbd2-c1c2ef3f84fc,,,Gauze Bandage 5cm x 5m,,Medical supply,N/A,,,2
41352c40-341d-4d65-8367-a99468650782,,,Surge Protector,,Medical supply,N/A,,,2
f05123eb-dd6d-46fc-bcc3-797effe57542,,,Auto Disposable Syringe 1ml with needle,,Medical supply,N/A,,,2
35d52d98-ddf9-47cf-9c88-b82f1d8e42bf,,,Gauze Non Sterile 90cm x 90m,,Medical supply,N/A,,,2
b7198c08-8a58-461e-b5df-53774f7414e3,,,Dental Needle Steralized 0.4 x42mm,,Medical supply,N/A,,,2
5f45dec2-3399-41e5-b281-bd10f8b82954,,,Goggles For Delivery Room,,Medical supply,N/A,,,2
10446603-2e4e-4bf8-bc54-9ffc7abd4cfe,,,Sample Cups For Humastar 80,,Medical supply,N/A,,,2
4d17390d-136c-40b8-bc2a-61dcadd8961d,,,Auto Disposable Syringe 5ML detachable needle 23G,,Medical supply,N/A,,,2
dddbb68d-725a-4703-8de0-7ad96a9b69f1,,,"Surgical Glove Sterile, Latex No 6.5",,Medical supply,N/A,,,2
bc7a0735-68c2-40af-9e85-0551628a4556,,,Cat Gut Chromic 3.0(3/0) 75cm on 18 20mm 1/2circle Round Bodied Needle 2234,,Medical supply,N/A,,,2
5387ec31-88a2-4c7b-a976-bee13c2042ff,,,Cover Slide 22x22mm Thickness 13 mm,,Medical supply,N/A,,,2
74aa7b62-ef6d-4457-8288-862f029b357f,,,Disposable Syringe 1ml,,Medical supply,N/A,,,2
3fbf1514-8060-416e-bc37-24e69d5e6586,,,BD Syringe 1ml,,Medical supply,N/A,,,2
e7f4308f-1e36-4973-b73c-2b92e108fd5f,,,Mosquito Bednet 160x180x150,,Medical supply,N/A,,,2
82b7a5da-1ed7-4b0e-b058-c467abe93bc3,,,Water Proof Plaster,,Medical supply,N/A,,,2
c7a4a8a6-10c4-47cf-b619-028d3d3df5bb,,,Recording Galss Strying 2ml,,Medical supply,N/A,,,2
74361113-5c27-44bd-8476-e30bde93f87d,,,Endotracheal Tube sterile CH 9,,Medical supply,N/A,,,2
4dc3cc2d-d2e9-4166-a173-5ee6ddad2bc5,,,"Gauze Swab 19cm x15cm, 40/40""",,Medical supply,N/A,,,2
c5e3726a-a3c7-4275-b386-97109280dedf,,,"Ambu Bag pedaiatrics, silicon Rubber",,Medical supply,N/A,,,2
070f0933-347a-4285-b1c5-0aad60a53bd0,,,Ambu Bag Adult Large,,Medical supply,N/A,,,2
